,driverId,constructorId,grid,year_x,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,statusId_1,statusId_2,statusId_3,positionOrder,Column1
277,825,210,11,2019,14,0,0,0,0,1,0.0,0.0,1.0,0,0.0
278,826,5,12,2019,14,0,0,0,0,1,0.0,0.0,1.0,0,0.0
279,832,1,7,2019,14,0,0,0,0,1,0.0,0.0,1.0,0,0.0
280,20,6,3,2019,15,0,0,0,0,0,1.0,0.0,0.0,1,0.13024256
281,844,6,1,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.31858492
282,830,9,4,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.06164953
283,1,131,2,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.37463582
284,822,131,5,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,1.7606098e-06
285,848,9,6,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.027555466
286,846,1,9,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.00072678924
287,842,5,11,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,1.8459545e-05
288,807,4,8,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.004888177
289,841,51,10,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,5.43115e-06
290,154,210,17,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,4.6528583e-18
291,832,1,7,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,0.01643908
292,840,211,16,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,2.6132214e-28
293,817,4,20,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,8.4627895e-12
294,826,5,14,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,3.3764016e-07
295,9,3,19,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,1.0117176e-05
296,825,210,13,2019,15,0,0,0,0,0,1.0,0.0,0.0,0,3.020004e-24
297,8,51,12,2019,15,0,0,0,0,0,0.0,0.0,1.0,0,0.0
298,815,211,15,2019,15,0,0,0,0,0,0.0,0.0,1.0,0,0.0
299,847,3,18,2019,15,0,0,0,0,0,0.0,0.0,1.0,0,0.0
300,1,131,2,2019,71,0,0,0,0,1,1.0,0.0,0.0,1,0.9187779
301,822,131,4,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,2.8086038e-07
302,844,6,1,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,0.0007531643
303,830,9,9,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,1.9975256e-16
304,848,9,0,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,0.114144236
305,832,1,5,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,1.03694955e-08
306,815,211,11,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,1.0867457e-29
307,846,1,7,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,5.859373e-13
308,825,210,13,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,3.1123132e-34
309,807,4,6,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,3.348492e-10
310,840,211,14,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,3.9781684e-37
311,826,5,19,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,3.8487897e-31
312,8,51,15,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,3.0762285e-20
313,842,5,16,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,1.2723545e-27
314,841,51,12,2019,71,0,0,0,0,1,1.0,0.0,0.0,0,5.1699455e-19
315,9,3,18,2019,71,0,0,0,0,1,0.0,0.0,1.0,0,0.0
316,847,3,17,2019,71,0,0,0,0,1,0.0,0.0,1.0,0,0.0
