ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
17,848,12,30,131,8,1,1,20960
18,848,12,813,3,15,1,1,20961
19,848,12,5,205,19,1,1,20962
20,848,12,15,205,20,1,1,20963
21,848,12,10,166,21,1,1,20964
22,848,12,816,166,23,1,1,20965
23,848,12,24,164,22,1,1,20966
24,848,12,39,164,24,1,1,20967
1,849,9,4,6,3,1,1,20968
2,849,9,20,9,2,1,1,20969
3,849,9,17,9,1,1,1,20970
4,849,9,1,1,10,1,1,20971
5,849,9,13,6,4,1,1,20972
6,849,9,3,131,9,1,1,20973
7,849,9,815,15,12,1,1,20974
8,849,9,2,4,16,1,1,20975
9,849,9,30,131,13,1,1,20976
10,849,9,153,5,18,1,1,20977
11,849,9,16,10,11,1,1,20978
12,849,9,808,4,14,1,1,20979
13,849,9,22,3,15,1,1,20980
14,849,9,813,3,7,1,1,20981
15,849,9,814,10,6,1,1,20982
16,849,9,10,166,20,1,1,20983
17,849,9,816,166,22,1,1,20984
18,849,9,24,164,23,1,1,20985
19,849,9,817,164,24,1,1,20986
0,849,9,18,1,5,2,1,20987
0,849,9,67,5,19,2,1,20988
0,849,9,155,15,8,2,1,20989
0,849,9,15,205,21,2,1,20990
0,849,9,5,205,17,2,1,20991
1,850,20,1,1,2,1,1,20992
2,850,20,4,6,4,1,1,20993
3,850,20,17,9,1,1,1,20994
4,850,20,20,9,3,1,1,20995
5,850,20,13,6,5,1,1,20996
6,850,20,16,10,8,1,1,20997
7,850,20,3,131,6,1,1,20998
8,850,20,30,131,10,1,1,20999
9,850,20,155,15,17,1,1,21000
10,850,20,808,4,9,1,1,21001
11,850,20,815,15,15,1,1,21002
12,850,20,153,5,16,1,1,21003
13,850,20,814,10,12,1,1,21004
14,850,20,813,3,13,1,1,21005
15,850,20,67,5,24,1,1,21006
16,850,20,5,205,18,1,1,21007
17,850,20,10,166,19,1,1,21008
18,850,20,816,166,21,1,1,21009
19,850,20,817,164,22,1,1,21010
20,850,20,812,205,20,1,1,21011
0,850,20,24,164,23,2,1,21012
0,850,20,18,1,7,2,1,21013
0,850,20,22,3,14,2,1,21014
0,850,20,2,4,11,2,1,21015
1,851,11,18,1,3,1,1,21016
2,851,11,20,9,1,1,1,21017
3,851,11,4,6,5,1,1,21018
4,851,11,1,1,2,1,1,21019
5,851,11,17,9,6,1,1,21020
6,851,11,13,6,4,1,1,21021
7,851,11,814,10,11,1,1,21022
8,851,11,67,5,23,1,1,21023
9,851,11,3,131,7,1,1,21024
10,851,11,153,5,16,1,1,21025
11,851,11,155,15,13,1,1,21026
12,851,11,808,4,12,1,1,21027
13,851,11,22,3,15,1,1,21028
14,851,11,16,10,8,1,1,21029
15,851,11,815,15,10,1,1,21030
16,851,11,813,3,17,1,1,21031
17,851,11,10,166,20,1,1,21032
18,851,11,817,164,22,1,1,21033
19,851,11,816,166,24,1,1,21034
20,851,11,24,164,21,1,1,21035
0,851,11,5,205,18,2,1,21036
0,851,11,30,131,9,2,1,21037
0,851,11,2,4,14,2,1,21038
0,851,11,15,205,19,2,1,21039
1,852,13,20,9,1,1,1,21040
2,852,13,17,9,3,1,1,21041
3,852,13,18,1,13,1,1,21042
4,852,13,4,6,8,1,1,21043
5,852,13,30,131,24,1,1,21044
6,852,13,3,131,5,1,1,21045
